caldt,spret
20021010,0.035139
20021011,0.039184
20021014,0.007451
20021015,0.047306
20021016,-0.023981
20021017,0.022417
20021018,0.00595
20021021,0.0173
20021022,-0.010559
20021023,0.00671
20021024,-0.015268
20021025,0.017164
20021028,-0.008141
20021029,-0.008896
20021030,0.009984
20021031,-0.005451
20021101,0.017241
20021104,0.008064
20021105,0.007853
20021106,0.009268
20021107,-0.022657
20021108,-0.008776
20021111,-0.020847
20021112,0.007818
20021113,-0.000251
20021114,0.024892
20021115,0.006208
20021118,-0.010388
20021119,-0.003875
20021120,0.019632
20021121,0.021612
20021122,-0.003658
20021125,0.002631
20021126,-0.02065
20021127,0.028154
20021129,-0.002801
20021202,-0.001923
20021203,-0.014582
20021204,-0.003214
20021205,-0.0121
20021206,0.006233
20021209,-0.022088
20021210,0.01409
20021211,0.000761
20021212,-0.003803
20021213,-0.013341
20021216,0.023527
20021217,-0.008152
20021218,-0.013111
20021219,-0.007509
20021220,0.013063
20021223,0.001769
20021224,-0.005496
20021226,-0.003133
20021227,-0.015639
20021230,0.004597
20021231,0.000696
20030102,0.033246
20030103,-0.000367
20030106,0.022472
20030107,-0.006533
20030108,-0.013812
20030109,0.01938
20030110,-0.000159
20030113,-0.001301
20030114,0.005722
20030115,-0.014373
20030116,-0.003915
20030117,-0.013969
20030121,-0.015645
20030122,-0.010349
20030123,0.009972
20030124,-0.029159
20030127,-0.016181
20030128,0.012975
20030129,0.006993
20030130,-0.022557
20030131,0.013113
20030203,0.005461
20030204,-0.013943
20030205,-0.005392
20030206,-0.006321
20030207,-0.009932
20030210,0.007597
20030211,-0.008036
20030212,-0.01223
20030213,-0.00152
20030214,0.021282
20030218,0.019581
20030219,-0.006785
20030220,-0.009393
20030221,0.013112
20030224,-0.018206
20030225,0.007138
20030226,-0.012801
20030227,0.011728
20030228,0.004509
20030303,-0.007534
20030304,-0.015318
20030305,0.009855
20030306,-0.009021
20030307,0.008279
20030310,-0.025728
20030311,-0.008296
20030312,0.004763
20030313,0.034451
