date,PFE,NKE,C,TM,BIIB,AZN
20120927,0.005236,0.005341,0.01415,0.020084,-0.005969,0.010447
20120928,-0.004407,-0.011354,-0.007583,-0.021682,-0.009953,-0.010339
20121001,0.007445,0.006743,0.000917,-0.018342,0.004892,-0.008149
20121002,0.003395,-0.006279,0.015572,-0.002855,-0.0001,-0.005056
20121003,0.007962,-0.012112,0.024053,0.003123,0.02011,-0.006987
20121004,0.001185,0.022281,0.026424,0.024517,-0.002419,0.010874
20121005,0.006706,-0.006987,-0.005435,-0.016207,-0.000262,-0.003586
20121008,-0.004702,-0.002415,0.000288,-0.004633,-0.008588,-0.008467
20121009,-0.003543,-0.005369,-0.005175,-0.01655,-0.012168,-0.014091
20121010,-0.005926,-0.002752,0.015607,-0.02051,-0.013991,-0.007146
20121011,-0.00159,0.007217,0.010814,0.004698,-0.00129,-0.000654
20121012,0,-0.005058,-0.021678,-0.002405,0.00068,0.006766
20121015,0.017914,0.012603,0.054964,0.020624,0.015013,0.007154
20121016,0.008995,0.017048,0.016094,0.014565,0.025702,0.017434
20121017,0.00155,0.003394,0.031678,0.008665,0.003458,0.001269
20121018,0.007546,0,-0.00026,0.006668,-0.027442,0.006338
20121019,-0.010563,-0.011479,-0.032795,-0.008661,-0.026143,-0.012177
20121022,-0.006211,-0.020425,0.01507,0.014647,-0.002403,-0.000425
20121023,-0.016016,-0.01757,-0.022004,-0.016335,-0.022299,-0.015735
20121024,0.004764,0.000754,0.011114,-0.003991,0,-0.004321
20121025,0.011853,-0.017009,0.002949,0.013959,0.016683,0.013235
20121026,-0.007029,-0.001752,-0.021652,-0.013894,-0.010386,-0.001927
20121031,-0.022021,0.002523,0.021585,0.001422,-0.033008,-0.004505
20121101,-0.012867,0.043445,0.015245,0.007487,0.005917,0.007328
20121102,0,-0.008495,-0.009223,-0.003203,-0.004459,-0.008344
20121105,0.001222,0.007616,-0.007447,0.04563,0.008598,-0.00302
20121106,0.005289,0.009133,0.030815,-0.001352,0.005014,0.004977
20121107,-0.01295,-0.015396,-0.062906,-0.019202,-0.013899,-0.008829
20121108,-0.000414,-0.029477,-0.001387,-0.016692,-0.019805,-0.006083
20121109,0.000414,0.004899,-0.001944,0.003829,0.017993,-0.006776
