Date,NDAQ,BLV,AMGN, CVX
7/5/2011,-0.028713597,0.015825063,-0.010981427,0.017292762
7/11/2011,-0.066219922,0.004574755,-0.044934105,0.002833164
7/18/2011,0.021527999,0.001723126,0.00308817,0.026179489
7/25/2011,-0.005371916,0.020764259,-0.009416909,-0.045425424
8/1/2011,-0.053178211,0.030144053,-0.04716637,-0.061622742
8/8/2011,0.007898205,0.012084869,-0.040675394,-0.01792847
8/15/2011,-0.077056988,0.032807749,0.045272039,-0.019013163
8/22/2011,0.072169722,-0.023122649,0.040400218,0.03816052
8/29/2011,-0.007479109,0.031618809,0.000369702,-0.004543065
9/6/2011,-0.013297802,0.003466027,-0.001109016,-0.0126543
9/12/2011,0.13522016,-0.011142136,0.049407853,0.046643524
9/19/2011,-0.034824007,0.036394446,-0.028390089,-0.096557229
9/26/2011,-0.051250458,-0.002283152,-0.002540772,0.028663362
10/3/2011,0.04191876,-0.011534365,0.02383554,0.019548589
10/10/2011,0.055993284,-0.018803324,0.021681204,0.064300894
10/17/2011,-0.013746982,0.004734463,0.019133733,0.050363283
10/24/2011,0.02309837,-0.001682761,-0.023041495,0.038946255
10/31/2011,-0.015181046,0.030518043,-0.036163524,-0.029277652
11/7/2011,0.047826126,-0.009193405,0.048758408,0.005825443
11/14/2011,-0.031686146,0.010935546,-0.034864589,-0.078432527
11/21/2011,-0.043630711,0.000983512,-0.016555681,-0.057110796
11/28/2011,0.054989824,-0.007634005,0.063128966,0.101852921
12/5/2011,-0.014671859,-0.008941367,0.008433757,0.025174513
12/12/2011,-0.058385478,0.03218977,0.024918909,-0.032518
12/19/2011,0.027465651,-0.015151805,0.060616117,0.065833814
12/27/2011,-0.00729049,0.020745519,0.008164559,-0.010232531
1/3/2012,-0.003263957,-0.008477363,0.008565715,0.017951108
1/9/2012,0.015145276,0.010961335,0.043854144,-0.02049671
1/17/2012,0.021774249,-0.018974291,0.029142096,0.007540759
1/23/2012,0.025651133,0.01226783,-0.017680114,-0.02741138
1/30/2012,-0.035398204,-0.006835826,0.013754839,0.014813477
2/6/2012,0.037096101,0.001323498,-0.027713681,-0.00208537
2/13/2012,0.031153802,-0.000771022,0.011641823,0.020873096
2/21/2012,-0.004475879,0.007936484,-0.000737625,0.022688923
2/27/2012,-0.021730988,0.003901896,0,0.00485879
3/5/2012,0.000765986,-0.009727898,0.00413404,-0.000364923
3/12/2012,0.018369673,-0.026158886,-0.009263385,0.006479866
3/19/2012,0.00112735,0.009747238,-0.010685617,-0.035545926
3/26/2012,-0.027777711,-0.002020398,0.019651961,0.007991754
4/2/2012,-0.014671859,0.004432492,0.000735563,-0.022945619
4/9/2012,-0.037225715,0.02273995,-0.035724793,-0.037899749
4/16/2012,0.019129133,0.005173412,0.043909138,0.017265302
4/23/2012,0.003993504,0.002299652,0.046297687,0.035895385
4/30/2012,-0.058472496,0.006349459,-0.026102796,-0.023352076
5/7/2012,-0.013096766,0.007626045,0.014476139,-0.009930554
5/14/2012,-0.058647219,0.017191142,-0.018034643,-0.032562689
5/21/2012,0.0031832,-0.002657327,-0.00144606,0.00406258
5/29/2012,-0.03082505,0.034269114,-0.01882699,-0.024782546
6/4/2012,0.034611851,-0.024191101,0.016531445,0.045949505
6/11/2012,-0.028933128,0.007204159,0.035138549,0.034609363
6/18/2012,0.013501007,-0.003260704,0.016411813,-0.037285541
6/25/2012,0.041341218,0.002005006,0.006210449,0.050378292
7/2/2012,-0.01985001,0.01396902,0.01289247,-0.004075778
7/9/2012,0.015301496,0.016048335,0.042112398,0.008946424
7/16/2012,-0.008421895,0.013128185,0.010524954,0.029997199
7/23/2012,0.03933833,-0.006681435,0.079079385,0.000641026
7/30/2012,-0.012473188,-0.003803058,-0.020376581,0.017023629
8/6/2012,0.017421695,-0.009442651,0.006325355,0.021868265
8/13/2012,0.009845883,-0.025075152,0.01228852,0.000104971
8/20/2012,-0.034760441,0.020937381,0.014511861,-0.005769585
8/27/2012,0.00439172,0.017280927,-0.007920467,0.001339211
9/4/2012,0.037603785,-0.016622412,0.000476607,0.016405066
9/10/2012,0.036881364,-0.028189572,-0.030967136,0.028508809
9/17/2012,-0.027789118,0.022131474,0.008235014,0.004690841
9/24/2012,-0.021017199,0.016081561,0.027550931,-0.010526409
10/1/2012,0.012880998,-0.010689041,0.031439091,0.008064582
10/8/2012,-0.013988947,0.018357319,-0.033816408,-0.046212817
10/15/2012,0.04342223,-0.010094837,0.037619014,0.011689147
10/22/2012,-0.020601574,0.000936601,0.00539229,-0.019403745
10/31/2012,0.010517441,0.000103826,-0.013465675,-0.025274347
