,Mkt-RF,RF
20020322,-1.19,0.033
20020328,-0.04,0.033
20020405,-2.15,0.038
20020412,-0.51,0.038
20020419,1.26,0.038
20020426,-4.13,0.038
20020503,-0.13,0.036
20020510,-1.79,0.036
20020517,4.65,0.036
20020524,-2.2,0.036
20020531,-1.47,0.036
20020607,-3.51,0.032
20020614,-2.11,0.032
20020621,-1.77,0.032
20020628,0.01,0.032
20020705,-0.75,0.039
20020712,-6.47,0.039
20020719,-7.25,0.039
20020726,0.11,0.039
20020802,1.22,0.035
20020809,4.8,0.035
20020816,2.33,0.035
20020823,1.22,0.035
20020830,-2.58,0.035
20020906,-2.04,0.036
20020913,-0.47,0.036
20020920,-5.05,0.036
20020927,-1.92,0.036
20021004,-3.48,0.034
20021011,3.8,0.034
20021018,5.8,0.034
20021025,1.51,0.034
20021101,0.63,0.029
20021108,-0.79,0.029
20021115,1.77,0.029
20021122,2.36,0.029
20021129,0.72,0.029
20021206,-2.51,0.028
20021213,-2.39,0.028
20021220,0.59,0.028
20021227,-2,0.028
20030103,3.5,0.024
20030110,2.06,0.024
20030117,-2.63,0.024
20030124,-4.23,0.024
20030131,-0.66,0.024
20030207,-3.12,0.022
20030214,0.35,0.022
20030221,1.73,0.022
20030228,-0.78,0.022
20030307,-1.42,0.025
20030314,0.58,0.025
20030321,7.21,0.025
20030328,-3.29,0.025
20030404,1.68,0.024
20030411,-1.14,0.024
20030417,2.92,0.024
20030425,0.7,0.024
20030502,3.7,0.022
20030509,0.53,0.022
20030516,1.22,0.022
20030523,-0.81,0.022
20030530,3.48,0.022
20030606,2.57,0.025
20030613,0.07,0.025
20030620,0.65,0.025
20030627,-1.65,0.025
20030703,1.11,0.017
20030711,1.65,0.017
20030718,-0.7,0.017
20030725,0.56,0.017
20030801,-1.52,0.017
20030808,-0.7,0.017
20030815,1.74,0.017
20030822,0.71,0.017
20030829,1.66,0.017
20030905,1.42,0.021
20030912,-0.26,0.021
20030919,1.8,0.021
20030926,-4.13,0.021
20031003,3.55,0.018
20031010,0.99,0.018
20031017,0.12,0.018
20031024,-1.09,0.018
20031031,2.45,0.018
20031107,0.68,0.018
20031114,-0.44,0.018
20031121,-1.4,0.018
20031128,2.54,0.018
20031205,-0.03,0.02
20031212,1.04,0.02
20031219,1.12,0.02
20031226,0.73,0.02
20040102,1.17,0.017
20040109,1.46,0.017
20040116,1.73,0.017
20040123,0.32,0.017
20040130,-1.19,0.017
20040206,0.91,0.016
20040213,0.47,0.016
20040220,-0.27,0.016
20040227,0.29,0.016
20040305,1.25,0.022
20040312,-3.07,0.022
20040319,-1.12,0.022
20040326,-0.13,0.022
20040402,3.4,0.02
20040408,-0.15,0.02
20040416,-0.8,0.02
20040423,0.75,0.02
20040430,-3.15,0.02
20040507,-0.98,0.015
20040514,-0.49,0.015
20040521,-0.11,0.015
20040528,2.79,0.015
20040604,0.11,0.021
20040610,0.94,0.021
20040618,-0.15,0.021
20040625,0.39,0.021
20040702,-0.82,0.024
20040709,-1.43,0.024
20040716,-1.09,0.024
20040723,-1.66,0.024
20040730,1.43,0.024
20040806,-3.77,0.028
20040813,0.03,0.028
20040820,3.5,0.028
20040827,0.83,0.028
20040903,0.55,0.029
20040910,1.11,0.029
20040917,0.53,0.029
20040924,-1.45,0.029
20041001,1.96,0.028
20041008,-0.9,0.028
20041015,-1.22,0.028
20041022,-0.93,0.028
20041029,3.06,0.028
20041105,3.2,0.039
20041112,1.66,0.039
20041119,-1.03,0.039
20041126,1.25,0.039
20041203,0.86,0.041
20041210,-0.42,0.041
20041217,0.8,0.041
20041223,1.26,0.041
20041231,0.29,0.041
20050107,-2.64,0.041
20050114,0,0.041
20050121,-1.33,0.041
20050128,0.25,0.041
20050204,2.9,0.041
20050211,0.08,0.041
20050218,-0.33,0.041
20050225,0.84,0.041
20050304,0.84,0.053
20050311,-1.77,0.053
20050318,-0.86,0.053
20050324,-1.41,0.053
20050401,-0.02,0.051
20050408,0.59,0.051
20050415,-3.41,0.051
20050422,0.7,0.051
20050429,0.16,0.051
20050506,1.53,0.06
20050513,-1.55,0.06
20050520,3.2,0.06
20050527,0.95,0.06
20050603,-0.04,0.057
20050610,0.2,0.057
20050617,1.64,0.057
20050624,-1.99,0.057
20050701,0.58,0.059
20050708,1.63,0.059
20050715,1.18,0.059
20050722,0.56,0.059
20050729,0.16,0.059
20050805,-0.82,0.075
20050812,0.23,0.075
20050819,-0.96,0.075
20050826,-1.13,0.075
20050902,1.2,0.071
20050909,1.84,0.071
20050916,-0.5,0.071
20050923,-1.9,0.071
20050930,1.29,0.071
20051007,-2.72,0.068
20051014,-1.02,0.068
20051021,-0.43,0.068
20051028,1.21,0.068
20051104,2.28,0.078
20051111,1.11,0.078
20051118,1,0.078
20051125,1.56,0.078
20051202,-0.12,0.079
20051209,-0.44,0.079
20051216,0.36,0.079
20051223,0.1,0.079
20051230,-1.59,0.079
20060106,2.92,0.087
20060113,0.29,0.087
20060120,-1.94,0.087
20060127,1.87,0.087
20060203,-1.35,0.084
20060210,-0.1,0.084
20060217,1.54,0.084
20060224,0.23,0.084
20060303,-0.13,0.092
20060310,-0.84,0.092
20060317,2.02,0.092
20060324,-0.12,0.092
20060331,-0.23,0.092
20060407,-0.13,0.089
20060413,-0.56,0.089
20060421,1.67,0.089
20060428,-0.24,0.089
20060505,1.21,0.108
20060512,-2.86,0.108
20060519,-2.06,0.108
20060526,0.85,0.108
20060602,0.7,0.099
20060609,-3.2,0.099
20060616,-0.32,0.099
20060623,-0.47,0.099
20060630,2.23,0.099
20060707,-0.76,0.099
20060714,-2.82,0.099
20060721,-0.1,0.099
20060728,3.07,0.099
20060804,0.07,0.105
20060811,-1.3,0.105
20060818,2.97,0.105
20060825,-0.88,0.105
20060901,1.55,0.102
20060908,-1.11,0.102
20060915,1.65,0.102
20060922,-0.66,0.102
20060929,1.47,0.102
20061006,1.09,0.101
20061013,1.4,0.101
20061020,0.05,0.101
20061027,0.62,0.101
20061103,-1.05,0.106
20061110,1.36,0.106
20061117,1.53,0.106
20061124,0.01,0.106
20061201,-0.5,0.101
20061208,1.02,0.101
20061215,0.95,0.101
20061222,-1.27,0.101
20061229,0.47,0.101
20070105,-0.66,0.111
20070112,1.73,0.111
20070119,-0.31,0.111
20070126,-0.57,0.111
20070202,1.94,0.096
20070209,-0.65,0.096
20070216,1.22,0.096
20070223,-0.05,0.096
20070302,-4.62,0.106
20070309,1,0.106
20070316,-1.18,0.106
20070323,3.48,0.106
20070330,-1.08,0.106
20070405,1.55,0.109
20070413,0.58,0.109
20070420,1.82,0.109
20070427,0.41,0.109
20070504,0.69,0.101
20070511,-0.09,0.101
20070518,0.82,0.101
20070525,-0.33,0.101
20070601,1.56,0.099
20070608,-1.99,0.099
20070615,1.58,0.099
20070622,-1.98,0.099
20070629,0.01,0.099
20070706,1.88,0.099
20070713,1.25,0.099
20070720,-1.34,0.099
20070727,-5.18,0.099
20070803,-1.9,0.104
20070810,1.4,0.104
20070817,-0.74,0.104
20070824,2.33,0.104
20070831,-0.44,0.104
20070907,-1.34,0.081
20070914,1.84,0.081
20070921,2.65,0.081
20070928,0.07,0.081
20071005,2.28,0.08
20071012,0.29,0.08
20071019,-3.86,0.08
20071026,2.17,0.08
20071102,-1.64,0.085
20071109,-3.68,0.085
20071116,0.19,0.085
20071123,-1.49,0.085
20071130,2.8,0.085
20071207,1.73,0.068
20071214,-2.63,0.068
20071221,1.23,0.068
20071228,-0.49,0.068
20080104,-4.76,0.054
20080111,-1.12,0.054
20080118,-5.18,0.054
20080125,0.64,0.054
20080201,5.05,0.033
20080208,-4.3,0.033
20080215,1.26,0.033
20080222,0.08,0.033
20080229,-1.53,0.033
20080307,-2.96,0.043
20080314,-0.45,0.043
20080320,2.7,0.043
20080328,-0.71,0.043
20080404,4.18,0.044
20080411,-2.65,0.044
20080418,3.96,0.044
20080425,0.45,0.044
20080502,1.16,0.045
20080509,-1.51,0.045
20080516,2.71,0.045
20080523,-3.22,0.045
20080530,2.1,0.045
20080606,-2.41,0.043
20080613,-0.17,0.043
20080620,-2.8,0.043
20080627,-3.26,0.043
20080703,-1.94,0.038
20080711,-1.31,0.038
20080718,1.65,0.038
20080725,-0.03,0.038
20080801,0.39,0.032
20080808,2.55,0.032
20080815,0.63,0.032
20080822,-0.68,0.032
20080829,-0.49,0.032
20080905,-3.16,0.038
20080912,0.48,0.038
20080919,0.87,0.038
20080926,-4.02,0.038
20081003,-9.6,0.02
20081010,-18,0.02
20081017,4.61,0.02
20081024,-7.24,0.02
20081031,10.78,0.02
20081107,-4.01,0.007
20081114,-6.45,0.007
20081121,-8.76,0.007
20081128,12.61,0.007
20081205,-2.14,0
20081212,0.66,0
20081219,1.34,0
20081226,-1.63,0
20090102,6.84,0
20090109,-4.11,0
20090116,-4.25,0
20090123,-2.53,0
20090130,-0.58,0
20090206,5.4,0.003
20090213,-4.42,0.003
20090220,-6.87,0.003
20090227,-4.2,0.003
20090306,-7.03,0.004
20090313,10.69,0.004
20090320,1.76,0.004
20090327,6.42,0.004
20090403,3.49,0.003
20090409,1.75,0.003
20090417,1.56,0.003
20090424,-0.44,0.003
20090501,1.65,0.001
20090508,5.65,0.001
20090515,-5.09,0.001
20090522,0.72,0.001
20090529,3.71,0.001
20090605,2.6,0.002
20090612,0.6,0.002
20090619,-2.7,0.002
20090626,-0.06,0.002
20090702,-2.3,0.003
20090710,-2.15,0.003
20090717,7.04,0.003
20090724,4.38,0.003
20090731,0.92,0.003
20090807,2.47,0.003
20090814,-0.63,0.003
20090821,2.16,0.003
20090828,0.19,0.003
20090904,-1.08,0.002
20090911,2.8,0.002
20090918,2.59,0.002
20090925,-2.3,0.002
20091002,-1.89,0.001
20091009,4.72,0.001
20091016,1.37,0.001
20091023,-0.87,0.001
20091030,-4.48,0.001
20091106,3.37,0
20091113,2.12,0
20091120,-0.19,0
20091127,-0.09,0
20091204,1.58,0.001
20091211,0.12,0.001
20091218,-0.01,0.001
20091224,2.35,0.001
20091231,-1.01,0.001
20100108,2.89,0.001
20100115,-0.91,0.001
20100122,-3.57,0.001
20100129,-1.7,0.001
20100205,-0.81,0
20100212,1.41,0
20100219,3.18,0
20100226,-0.37,0
20100305,3.46,0.002
20100312,1.18,0.002
20100319,0.61,0.002
20100326,0.66,0.002
20100401,1.02,0.003
20100409,1.63,0.003
20100416,0.1,0.003
20100423,2.19,0.003
20100430,-2.62,0.003
20100507,-6.78,0.003
20100514,2.8,0.003
20100521,-4.49,0.003
20100528,0.62,0.003
20100604,-2.43,0.003
20100611,2.46,0.003
20100618,2.41,0.003
20100625,-3.52,0.003
20100702,-5.26,0.004
20100709,5.39,0.004
20100716,-1.36,0.004
20100723,3.91,0.004
20100730,-0.13,0.004
20100806,1.68,0.003
20100813,-4.01,0.003
20100820,-0.42,0.003
20100827,-0.51,0.003
20100903,3.85,0.003
20100910,0.31,0.003
20100917,1.69,0.003
20100924,2.16,0.003
20101001,0.11,0.003
20101008,1.69,0.003
20101015,1.01,0.003
20101022,0.46,0.003
20101029,0.24,0.003
20101105,3.66,0.003
20101112,-2.01,0.003
20101119,0.26,0.003
20101126,-0.5,0.003
20101203,3,0.003
20101210,1.48,0.003
20101217,0.37,0.003
20101223,1.05,0.003
20101231,0.04,0.003
20110107,1.14,0.002
20110114,1.76,0.002
20110121,-1.25,0.002
20110128,-0.38,0.002
20110204,2.77,0.003
20110211,1.67,0.003
20110218,1.08,0.003
20110225,-1.73,0.003
20110304,0.19,0.002
20110311,-1.43,0.002
20110318,-1.81,0.002
20110325,2.94,0.002
20110401,1.59,0.001
20110408,-0.3,0.001
20110415,-0.69,0.001
20110421,1.36,0.001
20110429,2.01,0.001
20110506,-1.88,0
20110513,-0.06,0
20110520,-0.37,0
20110527,0.03,0
20110603,-2.5,0.001
20110610,-2.38,0.001
20110617,0.01,0.001
20110624,0.22,0.001
20110701,5.58,-0.001
20110708,0.52,-0.001
20110715,-2.15,-0.001
20110722,2.06,-0.001
20110729,-4.11,-0.001
20110805,-7.74,0.002
20110812,-1.59,0.002
20110819,-5.05,0.002
20110826,5.01,0.002
20110902,-0.21,0
20110909,-1.56,0
20110916,5.47,0
20110923,-6.77,0
20110930,-0.62,0
20111007,2.27,0
20111014,6.28,0
20111021,0.95,0
20111028,4.09,0
20111104,-2.28,0
20111111,0.61,0
20111118,-3.69,0
20111125,-4.85,0
20111202,7.68,0
20111209,0.86,0
20111216,-2.88,0
20111223,3.66,0
20111230,-0.62,0
20120106,1.7,0
20120113,1.18,0
20120120,2.13,0
20120127,0.33,0
20120203,2.5,0.001
20120210,-0.23,0.001
20120217,1.6,0.001
20120224,0.26,0.001
20120302,0.05,0.001
20120309,0.32,0.001
20120316,2.29,0.001
20120323,-0.44,0.001
20120330,0.74,0.001
20120405,-0.71,0.001
20120413,-2.05,0.001
20120420,0.56,0.001
20120427,1.87,0.001
20120504,-2.68,0.002
20120511,-0.99,0.002
20120518,-4.47,0.002
20120525,1.95,0.002
20120601,-3.15,0.001
20120608,3.73,0.001
20120615,1.07,0.001
20120622,-0.35,0.001
20120629,2.1,0.001
20120706,-0.26,0.001
20120713,-0.05,0.001
20120720,0.26,0.001
20120727,1.45,0.001
20120803,0.17,0.001
20120810,1.37,0.001
20120817,1.13,0.001
20120824,-0.55,0.001
20120831,-0.18,0.001
20120907,2.56,0.002
20120914,2.09,0.002
20120921,-0.48,0.002
20120928,-1.41,0.002
20121005,1.46,0.002
20121012,-2.21,0.002
20121019,0.26,0.002
20121026,-1.37,0.002
20121102,0.27,0.002
20121109,-2.33,0.002
20121116,-1.46,0.002
20121123,3.72,0.002
20121130,0.83,0.002
20121207,0.13,0.003
20121214,-0.14,0.003
20121221,1.4,0.003
20121228,-1.88,0.003
20130104,4.8,0
20130111,0.44,0
20130118,0.98,0
20130125,1.27,0
20130201,0.73,0.001
20130208,0.45,0.001
20130215,0.23,0.001
20130222,-0.36,0.001
20130301,0.2,0.001
20130308,2.47,0.001
20130315,0.67,0.001
20130322,-0.21,0.001
20130328,0.85,0.001
20130405,-1.39,0.001
20130412,2.38,0.001
20130419,-2.24,0.001
20130426,1.92,0.001
20130503,2.05,0
20130510,1.44,0
20130517,2.14,0
20130524,-1.07,0
20130531,-0.76,0
20130607,0.73,0
20130614,-0.93,0
20130621,-2.08,0
20130628,1.11,0
20130705,1.85,0
20130712,3.02,0
20130719,0.72,0
20130726,0.12,0
20130802,1.44,0
20130809,-0.98,0
20130816,-2.04,0
20130823,0.61,0
20130830,-1.87,0
20130906,1.49,0
20130913,2.16,0
20130920,1.36,0
20130927,-0.77,0
20131004,0.17,0.001
20131011,0.55,0.001
20131018,2.51,0.001
20131025,0.72,0.001
20131101,-0.12,0.001
20131108,0.47,0.001
20131115,1.71,0.001
20131122,0.36,0.001
20131129,0.35,0.001
20131206,-0.07,0.001
20131213,-1.46,0.001
20131220,2.57,0.001
20131227,1.35,0.001
20140103,-0.42,0.001
20140110,0.67,0.001
20140117,-0.12,0.001
20140124,-2.6,0.001
20140131,-0.44,0.001
20140207,0.56,0.001
20140214,2.53,0.001
20140221,0.14,0.001
20140228,1.37,0.001
20140307,1.17,0.001
20140314,-1.94,0.001
20140321,1.28,0.001
20140328,-1.01,0.001
20140404,0.33,0
20140411,-2.87,0
20140417,2.68,0
20140425,-0.34,0
20140502,0.99,0
20140509,-0.47,0
20140516,0,0
20140523,1.39,0
20140530,1.18,0
20140606,1.6,0.001
20140613,-0.52,0.001
20140620,1.51,0.001
20140627,-0.06,0.001
20140703,1.38,0
20140711,-1.35,0
20140718,0.37,0
20140725,-0.01,0
20140801,-2.63,0
20140808,0.51,0
20140815,1.31,0
20140822,1.79,0
20140829,0.89,0
20140905,0.18,0
20140912,-0.86,0
20140919,0.91,0
20140926,-1.58,0
20141003,-0.79,0
20141010,-3.59,0
20141017,-0.51,0
20141024,4.06,0
20141031,2.87,0
20141107,0.69,0
20141114,0.54,0
20141121,1.05,0
20141128,0.26,0
20141205,0.29,0
20141212,-3.44,0
20141219,3.47,0
20141226,1.03,0
20150102,-1.39,0
20150109,-0.78,0
20150116,-1.32,0
20150123,1.64,0
20150130,-2.5,0
20150206,3.32,0
20150213,2.11,0
20150220,0.8,0
20150227,-0.19,0
20150306,-1.36,0
20150313,-0.61,0
20150320,2.59,0
20150327,-2.16,0
20150402,0.45,0.001
20150410,1.67,0.001
20150417,-1.02,0.001
20150424,1.77,0.001
20150501,-0.77,0
20150508,0.41,0
20150515,0.41,0
20150522,0.32,0
20150529,-0.79,0
20150605,-0.29,0
20150612,0.12,0
20150619,0.83,0
20150626,-0.35,0
20150702,-1.33,0
20150710,-0.02,0
20150717,2.27,0
20150724,-2.33,0
20150731,1.19,0
20150807,-1.36,0.001
20150814,0.69,0.001
20150821,-5.7,0.001
20150828,1.07,0.001
20150904,-3.08,0
20150911,2.09,0
20150918,-0.15,0
20150925,-1.77,0
20151002,0.73,0
20151009,3.44,0
20151016,0.62,0
20151023,1.7,0
20151030,0.17,0
20151106,1.38,0.001
20151113,-3.72,0.001
20151120,3.14,0.001
20151127,0.38,0.001
20151204,-0.19,0.003
20151211,-3.93,0.003
20151218,-0.35,0.003
20151224,2.83,0.003
20151231,-0.9,0.003
20160108,-6.22,0.002
20160115,-2.54,0.002
20160122,1.38,0.002
20160129,1.71,0.002
20160205,-3.36,0.005
20160212,-0.81,0.005
20160219,3.09,0.005
20160226,1.84,0.005
20160304,3.08,0.005
20160311,1,0.005
20160318,1.41,0.005
20160324,-0.8,0.005
20160401,2.06,0.002
20160408,-1.17,0.002
20160415,1.94,0.002
20160422,0.74,0.002
20160429,-1.19,0.002
20160506,-0.63,0.003
20160513,-0.52,0.003
20160520,0.55,0.003
20160527,2.43,0.003
20160603,0.16,0.005
20160610,-0.25,0.005
20160617,-1.2,0.005
20160624,-1.6,0.005
20160701,3.14,0.005
20160708,1.38,0.005
20160715,1.6,0.005
20160722,0.6,0.005
20160729,0.07,0.005
20160805,0.56,0.005
20160812,0.18,0.005
20160819,0.15,0.005
20160826,-0.53,0.005
20160902,0.7,0.005
20160909,-2.3,0.005
20160916,0.57,0.005
20160923,1.26,0.005
20160930,0.21,0.005
20161007,-0.58,0.004
20161014,-1.12,0.004
20161021,0.42,0.004
20161028,-0.77,0.004
20161104,-1.89,0.004
20161111,4.67,0.004
20161118,1.29,0.004
20161125,1.64,0.004
20161202,-1.13,0.006
20161209,3.35,0.006
20161216,-0.29,0.006
20161223,0.32,0.006
20161230,-1.16,0.006
20170106,1.69,0.009
20170113,0.09,0.009
20170120,-0.31,0.009
20170127,1.16,0.009
20170203,0.15,0.009
20170210,0.88,0.009
20170217,1.52,0.009
20170224,0.48,0.009
20170303,0.65,0.008
20170310,-0.55,0.008
20170317,0.48,0.008
20170324,-1.65,0.008
20170331,1.05,0.008
20170407,-0.44,0.014
20170413,-1.2,0.014
20170421,1.11,0.014
20170428,1.64,0.014
20170505,0.53,0.016
20170512,-0.32,0.016
20170519,-0.4,0.016
20170526,1.46,0.016
20170602,1.09,0.015
20170609,-0.24,0.015
20170616,-0.08,0.015
20170623,0.31,0.015
20170630,-0.49,0.015
20170707,0.08,0.018
20170714,1.36,0.018
20170721,0.55,0.018
20170728,-0.03,0.018
20170804,0.09,0.021
20170811,-1.52,0.021
20170818,-0.67,0.021
20170825,0.82,0.021
20170901,1.61,0.024
20170908,-0.77,0.024
20170915,1.7,0.024
20170922,0.39,0.024
20170929,0.91,0.024
20171006,1.29,0.021
20171013,0.03,0.021
20171020,0.91,0.021
20171027,0.25,0.021
20171103,0.19,0.021
20171110,-0.41,0.021
20171117,0.21,0.021
20171124,1.04,0.021
20171201,1.62,0.022
20171208,0.3,0.022
20171215,0.81,0.022
20171222,0.54,0.022
20171229,-0.37,0.022
20180105,2.54,0.028
20180112,1.81,0.028
20180119,0.84,0.028
20180126,2.05,0.028
20180202,-3.81,0.028
20180209,-5.09,0.028
20180216,4.51,0.028
20180223,0.48,0.028
20180302,-1.74,0.029
20180309,3.6,0.029
20180316,-1.21,0.029
20180323,-5.82,0.029
20180329,1.8,0.029
20180406,-1.38,0.036
20180413,2.05,0.036
20180420,0.73,0.036
20180427,-0.29,0.036
20180504,-0.16,0.035
20180511,2.43,0.035
20180518,-0.22,0.035
20180525,0.22,0.035
20180601,0.61,0.034
20180608,1.68,0.034
20180615,0.21,0.034
20180622,-0.85,0.034
20180629,-1.6,0.034
20180706,1.65,0.04
20180713,1.39,0.04
20180720,0.14,0.04
20180727,0.17,0.04
20180803,0.65,0.041
20180810,0.05,0.041
20180817,0.46,0.041
20180824,1.06,0.041
20180831,0.96,0.041
20180907,-1.14,0.038
20180914,1.2,0.038
20180921,0.54,0.038
20180928,-0.52,0.038
20181005,-1.42,0.047
20181012,-4.26,0.047
20181019,-0.15,0.047
20181026,-4.06,0.047
20181102,2.87,0.044
20181109,1.75,0.044
20181116,-1.65,0.044
20181123,-3.74,0.044
20181130,4.78,0.044
20181207,-4.83,0.048
20181214,-1.45,0.048
20181221,-7.32,0.048
20181228,3.14,0.048
20190104,2.14,0.051
20190111,2.95,0.051
20190118,2.8,0.051
20190125,-0.28,0.051
20190201,1.57,0.046
20190208,0.08,0.046
20190215,2.73,0.046
20190222,0.64,0.046
20190301,0.5,0.048
20190308,-2.55,0.048
20190315,2.83,0.048
20190322,-1.11,0.048
20190329,1.27,0.048
20190405,2.14,0.052
20190412,0.55,0.052
20190418,-0.18,0.052
20190426,1.24,0.052
20190503,0.27,0.051
20190510,-2.22,0.051
20190517,-1.02,0.051
20190524,-1.3,0.051
20190531,-2.71,0.051
20190607,4.27,0.045
20190614,0.45,0.045
20190621,2.21,0.045
20190628,-0.11,0.045
20190705,1.56,0.048
20190712,0.72,0.048
20190719,-1.22,0.048
20190726,1.75,0.048
20190802,-3.45,0.041
20190809,-0.61,0.041
20190816,-1.17,0.041
20190823,-1.57,0.041
20190830,2.7,0.041
20190906,1.61,0.044
20190913,1.33,0.044
20190920,-0.64,0.044
20190927,-1.36,0.044
20191004,-0.4,0.038
20191011,0.69,0.038
20191018,0.47,0.038
20191025,1.38,0.038
20191101,1.47,0.031
20191108,1.01,0.031
20191115,0.78,0.031
20191122,-0.19,0.031
20191129,1.13,0.031
20191206,0.1,0.035
20191213,0.74,0.035
20191220,1.71,0.035
20191227,0.49,0.035
20200103,-0.12,0.032
20200110,0.94,0.032
20200117,2.01,0.032
20200124,-1.14,0.032
20200131,-2.06,0.032
20200207,3.13,0.03
20200214,1.73,0.03
20200221,-1.06,0.03
20200228,-11.5,0.03
20200306,0.1,0.031
20200313,-9.7,0.031
20200320,-14.56,0.031
20200327,10.31,0.031
20200403,-2.48,0.001
20200409,12.35,0.001
20200417,3.25,0.001
20200424,-0.86,0.001
20200501,0.01,0.002
20200508,4.24,0.002
20200515,-2.2,0.002
20200522,3.59,0.002
20200529,2.98,0.002
20200605,4.97,0.003
20200612,-4.73,0.003
20200619,2.29,0.003
20200626,-2.83,0.003
20200702,4.04,0.003
20200710,2.1,0.003
20200717,1.2,0.003
20200724,-0.31,0.003
20200731,1.73,0.003
20200807,2.71,0.002
20200814,0.74,0.002
20200821,0.86,0.002
20200828,3.19,0.002
20200904,-2.47,0.002
20200911,-2.58,0.002
20200918,0.01,0.002
20200925,-0.62,0.002
20201002,1.85,0.002
20201009,4.25,0.002
20201016,0.31,0.002
20201023,-0.51,0.002
20201030,-5.74,0.002
20201106,7.69,0.002
20201113,1.95,0.002
20201120,0.17,0.002
20201127,2.86,0.002
20201204,1.76,0.002
20201211,-0.48,0.002
20201218,1.84,0.002
20201224,0.15,0.002
20201231,0.72,0.002
20210108,2.52,0.001
20210115,-1.03,0.001
20210122,2.08,0.001
20210129,-3.48,0.001
20210205,5.27,0.001
20210212,1.63,0.001
20210219,-0.82,0.001
20210226,-3.15,0.001
20210305,0.07,0.001
20210312,3.36,0.001
20210319,-1.04,0.001
20210326,0.57,0.001
20210401,1.39,0
20210409,2.45,0
20210416,1.32,0
20210423,-0.1,0
20210430,-0.11,0
20210507,0.53,0
20210514,-1.55,0
20210521,-0.18,0
20210528,1.5,0
20210604,0.54,0
20210611,0.82,0
20210618,-1.83,0
20210625,2.98,0
20210702,1.29,0.001
20210709,0.18,0.001
20210716,-1.74,0.001
20210723,2.25,0.001
20210730,-0.44,0.001
